id,fy,state_name,district_name,total_dbt_transfer,no_of_dbt_transactions,start_year,end_year,transfer_per_transaction
110,2019-2020,Rajasthan,Bundi,168700000,1157075,2019,2020,145.79867337899444
111,2019-2020,Rajasthan,Chittorgarh,237000000,1638637,2019,2020,144.6323987557952
112,2019-2020,Rajasthan,Churu,343200000,2152689,2019,2020,159.4285101099137
113,2019-2020,Rajasthan,Dausa,200100000,1397514,2019,2020,143.18282321322005
114,2019-2020,Rajasthan,Dholpur,157200000,943247,2019,2020,166.65836201970427
115,2019-2020,Rajasthan,Dungarpur,111200000,660764,2019,2020,168.2900400142865
116,2019-2020,Rajasthan,Ganganagar,456000000,2773700,2019,2020,164.40134116883584
117,2019-2020,Rajasthan,Hanumangarh,357700000,2150224,2019,2020,166.35476117837024
118,2019-2020,Rajasthan,Jaipur,1626700000,11807360,2019,2020,137.7700010840696
119,2019-2020,Rajasthan,Jaisalmer,86000000,528186,2019,2020,162.82143032946726
120,2019-2020,Rajasthan,Jalore,225600000,1411352,2019,2020,159.84672852697273
121,2019-2020,Rajasthan,Jhalawar,195600000,1360348,2019,2020,143.78673692319907
122,2019-2020,Rajasthan,Jhunjhunu,424600000,2873091,2019,2020,147.78508581872276
123,2019-2020,Rajasthan,Jodhpur,749100000,4909688,2019,2020,152.57588669585522
124,2019-2020,Rajasthan,Karauli,167700000,1123995,2019,2020,149.19995195708165
125,2019-2020,Rajasthan,Kota,423600000,2917123,2019,2020,145.2115663275083
126,2019-2020,Rajasthan,Nagaur,451800000,3121555,2019,2020,144.73555647746076
127,2019-2020,Rajasthan,Pali,321400000,2115005,2019,2020,151.9618156931071
128,2019-2020,Rajasthan,Rajsamand,162100000,981187,2019,2020,165.20805921806954
129,2019-2020,Rajasthan,Sawai Madhopur,157600000,1073738,2019,2020,146.77696048756772
130,2019-2020,Rajasthan,Sikar,505100000,3499576,2019,2020,144.3317704773378
131,2019-2020,Rajasthan,Sirohi,153900000,951022,2019,2020,161.82590939010873
132,2019-2020,Rajasthan,Tonk,173000000,1189055,2019,2020,145.4936903675608
133,2019-2020,Rajasthan,Udaipur,446000000,2584555,2019,2020,172.5635554283039
134,2019-2020,Rajasthan,Pratapgarh,77100000,541300,2019,2020,142.434878995012
135,2019-2020,Uttar Pradesh,Agra,1046900000,6233734,2019,2020,167.94107672865093
136,2019-2020,Uttar Pradesh,Aligarh,717100000,4224618,2019,2020,169.7431578429103
137,2019-2020,Uttar Pradesh,Prayagraj,1228200000,6135517,2019,2020,200.17872984460803
138,2019-2020,Uttar Pradesh,Ambedkar Nagar,342800000,1632715,2019,2020,209.95703475499397
139,2019-2020,Uttar Pradesh,Auraiya,257700000,1447959,2019,2020,177.97465259720752
140,2019-2020,Uttar Pradesh,Azamgarh,801400000,3682863,2019,2020,217.60244679207455
141,2019-2020,Uttar Pradesh,Baghpat,246400000,1585960,2019,2020,155.36331307220863
142,2019-2020,Uttar Pradesh,Bahraich,452800000,2323633,2019,2020,194.86726174055886
143,2019-2020,Uttar Pradesh,Ballia,623000000,2837221,2019,2020,219.58106189119565
144,2019-2020,Uttar Pradesh,Balrampur,262500000,1232752,2019,2020,212.93820654924917
145,2019-2020,Uttar Pradesh,Banda,178000000,988484,2019,2020,180.07372906389986
